-- 쿼리 실행: 2026-09-01 14:22 / 실행자: 윤서진 (데이터팀)
"-- SELECT DATE_FORMAT(RECV_DTM,'%Y-%m') AS ym, COUNT(*) FROM CANCEL_RECON_QUEUE WHERE STATUS='PENDING' GROUP BY 1"

기준월,PENDING 건수,추정 미정정 금액(원)
2023-04,48,2196480
2023-05,34,1555840
2023-06,47,2150720
2023-07,54,2471040
2023-08,49,2242240
2023-09,58,2654080
2023-10,65,2974400
2023-11,69,3157440
2023-12,61,2791360
2024-01,59,2699840
2024-02,67,3065920
2024-03,68,3111680
2024-04,75,3432000
2024-05,77,3523520
2024-06,76,3477760
2024-07,88,4026880
2024-08,88,4026880
2024-09,97,4438720
2024-10,85,3889600
2024-11,108,4942080
2024-12,99,4530240
2025-01,110,5033600
2025-02,109,4987840
2025-03,116,5308160
2025-04,103,4713280
2025-05,120,5491200
2025-06,108,4942080
2025-07,122,5582720
2025-08,125,5720000
2025-09,127,5811520
2025-10,129,5903040
2025-11,142,6497920
2025-12,139,6360640
2026-01,146,6680960
2026-02,146,6680960
2026-03,139,6360640
2026-04,140,6406400
2026-05,161,7367360
2026-06,163,7458880
2026-07,148,6772480
2026-08,162,7413120
합계,4127,188851520
